id,spend12,age,dist,pop,tripFreq,nMarketing
1924411.3,609.83,43,2.374,27717,1.09,1
4511870.18,1100.56,61,3.895,57212,1.47,1
3866631.674,666.74,46,1.241,31182,0.71,1
1840259.602,474.54,40,2.086,40833,0.44,0
5719196.694,1197.27,67,1.564,42374,1.75,0
5717374.793,534.93,43,3.633,53268,2.42,0
1645794.884,864.27,49,1.059,26632,3,2
5167244.078,680.97,47,7.15,31981,2.54,1
3340092.578,814.4,53,11.66,54755,2.67,0
3749918.709,545.04,43,10.184,31298,2.63,0
3763370.335,389.16,32,2.728,36086,0.25,1
2194473.797,551.36,44,6.578,55437,2.47,0
4802566.566,777.3,53,1.418,34236,0.51,0
1904100.504,1165.54,63,1.073,44966,1.75,1
3026410.906,995.5,50,3.254,52376,1.49,3
5267742.265,1238.58,68,11.295,49674,1.65,0
5881992.447,743.29,52,2.694,58873,0.52,0
2129127.305,777.61,40,7.069,43538,0.33,3
3224046.146,426,38,11.677,34048,1.66,0
1374897.124,870.84,53,6.354,56363,2.65,1
4309493.792,750.78,52,8.976,44880,2.19,0
2937747.713,583.61,44,4.399,58964,1.29,0
5184445.884,417.61,34,1.644,54263,0.19,1
1752507.204,371.61,30,7.777,38939,1.98,1
2736361.245,780.17,52,7.865,47090,1.77,0
3443866.157,916.25,56,1.066,46144,2.39,1
1746234.314,880.84,56,8.496,51556,0.17,0
2785312.95,964.42,58,3.752,52854,0.27,1
5813220.241,283.94,28,1.928,44564,0.42,0
1661860.016,673.97,48,3.167,37634,1.79,0
1052072.627,587.89,44,1.087,41422,1.67,0
1823211.21,757.27,52,11.034,47531,0.95,0
5050960.722,771.15,52,4.096,38361,0.6,0
5344305.184,697,49,1.391,31175,0.87,0
3571408.815,927.82,58,1.476,46865,2.06,0
4135981.433,712.14,48,3.153,28822,1.81,1
5222145.015,482.52,37,2.031,34980,2.63,1
2424352.871,702.7,47,8.301,37207,0.75,1
4336128.239,718.87,51,11.138,53489,1.82,0
1752348.76,1288.24,69,1.391,41995,1.02,0
5908639.311,605.65,45,5.72,50225,1.16,0
2485053.676,525.97,43,4.338,49788,1.26,0
1575420.377,977.72,57,7.366,29238,1.38,1
1816004.359,874.93,44,5.04,39410,2.2,3
5720209.041,950.1,57,4.513,35430,2.28,1
4974319.118,831.5,54,3.095,56514,0.49,0
5873439.488,831.81,53,6.934,27609,0.51,1
2745442.053,422.04,38,3.872,54852,1.31,0
3509849.404,1009.18,59,1.552,33300,2.34,1
5051986.313,869.55,53,8.75,54686,1.18,1
1035545.19,704.2,48,11.473,44724,2.56,1
1073469.555,418.12,34,4.519,30780,0.46,1
4417017.114,1234.87,68,2.302,30335,2.67,0
5648601.109,523.38,41,5.079,42402,2.07,0
2377005.993,985.12,58,1.44,25027,2.24,1
5059298.477,237.66,28,1.335,25032,0.06,0
4929394.564,583.33,41,10.956,46185,2.61,1
5944510.778,844.6,52,6.446,29239,2.37,1
4069764.548,1044.3,61,1.949,33392,2.46,0
4550928.651,866.84,55,9.839,34982,2.59,0
4850139.283,857.08,55,4.928,42703,0.43,0
5434920.786,650.76,45,6.582,58203,0.43,1
4125608.648,867,55,4.065,51827,2.3,0
2301500.177,718.6,50,11.384,42960,2.39,0
5295365.589,810.43,51,9.025,27177,1.64,1
3187440.01,493.46,38,7.507,26353,0.91,1
2940723.788,1241.12,68,6.164,46023,0.29,0
3307505.526,1445.16,73,1.919,59435,2.16,0
2093375.967,640.53,44,9.909,58576,2.96,1
1329677.552,1081.83,63,5.171,48206,1.71,0
2378505.133,935.43,58,3.708,21528,1.68,0
2551905.487,1157.56,64,1.709,40369,1.08,1
1210877.63,719.48,50,6.579,42284,2.69,0
1923367.316,678.91,47,3.378,44824,2.01,1
1916866.141,424.14,38,2.046,28557,2.32,0
4777312.082,837.48,54,2.682,54397,2.06,0
2440298.661,566.66,44,5.746,54995,0.38,0
5339223.312,1070.5,61,8.755,41996,1.95,1
3013213.68,621.82,47,2.016,46333,0.87,0
3863425.018,1006.41,61,1.703,53615,1.57,0
2753212.875,501.24,42,2.338,52930,0.76,0
4359994.642,967.09,58,1.042,32202,0.16,1
1125251.783,960.97,59,3.896,28829,0.66,0
3005505.189,712.49,50,2.766,44066,0.2,0
1999882.65,968.54,60,8.412,24423,0.49,0
5282625.004,485.46,38,1.382,47651,0.85,1
5857577.143,917.08,57,1.73,57558,2.44,0
2618612.184,541.46,41,3.385,48424,0.62,1
4665957.167,487.45,37,8.407,34298,0.89,1
2700341.201,663.7,45,1.287,56678,0.72,1
5883775.923,700.92,47,4.637,37500,0.67,1
2985082.059,521.19,41,10.927,46159,2.79,0
2899994.396,548.22,43,11.062,46095,2.67,0
3801938.151,782.5,52,2.166,58638,1.56,0
3319040.896,540.15,42,3.823,40127,1.36,0
1983884.133,1099.37,64,4.135,42336,1.71,0
3134717.014,675.84,48,3.624,41429,1.62,0
1465125.937,606.82,46,5.996,52937,1.94,0
1576545.635,602.32,44,6.614,46094,0.12,1
3200158.271,1109.01,64,4.651,58309,2.66,0
2004673.648,799.17,51,7.652,22178,1.54,1
3138195.364,952.14,58,3.952,47705,2.38,0
5902999.909,1654.59,79,2.58,39853,1.11,0
5144610.628,584.76,44,6.934,56570,2.03,0
2434869.275,669.5,48,4.004,39895,0.05,0
3979584.484,509.66,42,1.065,43812,2.38,0
5494859.731,1008.96,59,5.037,25743,2.49,1
3266885.001,722.18,51,1.676,44321,2.07,0
1737088.897,957.15,59,3.473,55762,2.6,0
1643384.913,960.24,54,1.035,38956,2.71,2
1123281.688,722.31,51,1.523,42507,0.18,0
4681556.875,671.87,46,11.183,35266,1.28,1
2866792.822,567.55,44,2.689,42325,2.95,0
3871884.702,599.6,43,10.424,47019,0.07,1
5126640.067,706.22,44,11.203,57120,0.61,2
5068478.369,696.67,50,1.239,25165,2,0
5363481.702,1181.93,66,2.492,37355,1.74,0
1552774.498,657.6,47,2.494,44237,1.56,0
5763501.184,706.22,48,11.261,46093,2.58,1
3845010.405,1332.01,65,2.096,59775,2.49,2
1184342.354,620.28,47,11.246,46954,1.83,0
2226454.582,582.72,37,2.145,58297,1.43,2
5894423.996,841.13,48,1.455,31394,1.65,2
5428686.162,779.93,52,7.111,40549,1.41,0
2204914.489,555.79,44,2.896,28200,0.92,0
4786057.851,346.35,33,7.91,42124,0.65,0
3814182.594,695.06,50,1.336,48160,1.86,0
2525515.476,976.09,60,2.531,35807,0.67,0
4468270.435,879.26,54,9.035,42548,1.46,1
2679728.02,1076.07,60,10.394,25098,2.96,1
2030547.222,440.51,38,1.835,59145,2.69,0
5596381.279,1437.38,73,4.8,53537,1.32,0
1114062.249,527.26,43,1.952,46873,1.46,0
5818798.723,530.59,35,5.739,44549,0.17,2
2579326.218,825.54,55,1.272,39904,1.16,0
4328042.087,593.09,46,1.027,26609,0.98,0
3667716.517,632.34,46,3.331,53083,1.83,0
5088983.597,1026.39,55,1.172,40153,1.73,2
1926317.549,589.11,44,11.666,26631,2.25,0
2997587.758,547.74,41,3.266,26778,0.6,1
1892266.302,889.58,56,4.566,39486,2.57,0
2427171.053,336.79,32,2.71,59437,0.6,0
4147349.135,764.3,52,1.277,46893,2.11,0
2500501.408,1035.21,62,1.38,56907,1.95,0
3218369.808,902.21,55,2.109,24591,1.84,1
4651004.7,776.5,50,3.357,55089,0.86,1
4340817.683,581.94,41,6.929,44501,2.36,1
2558285.006,407.42,37,6.68,34244,2.82,0
3392890.415,641.67,47,5.16,41584,0.93,0
2457050.755,750.25,52,4.129,30914,2.28,0
1910871.067,735.5,51,1.449,33164,2.71,0
2803812.915,628.26,47,3.583,52497,2.76,0
5519000.155,267.22,29,2.86,26389,0.88,0
2970238.087,1055.58,60,4.843,57169,2.25,1
4899402.637,1187.25,64,1.855,36032,1.85,1
2420794.732,1010.63,58,1.914,53159,1.28,1
5268603.835,609.59,45,2.234,20266,1.68,0
1861212.342,1015.2,59,1.269,55400,2.21,1
1396320.911,786.83,51,6.177,37233,1.34,1
2460324.887,579.8,45,10.783,24748,0.25,0
5201855.889,488.48,41,10.037,58849,2.42,0
5726340.403,646.82,47,10.34,33988,0.77,0
1224826.001,773.66,53,1.106,35380,1.31,0
4791914.538,1115.85,62,6.078,28932,0.2,1
2484439.99,313.33,31,2.559,37748,1.65,0
4255272.195,553.71,40,7.69,32568,1.21,1
1424948.921,1150.4,60,3.557,30500,2.98,2
5877405.375,748.15,51,11.081,33586,0.58,0
1068124.657,889.61,54,2.013,29201,0.24,1
3694347.259,270.79,28,7.441,45179,0.01,0
5828909.008,1127.39,62,1.358,42937,1.64,1
1505367.221,712.8,50,10.533,34402,1.45,0
2283756.713,664.35,49,1.081,39169,0.63,0
5475736.106,1538.15,76,7.26,56780,2.63,0
2939720.954,721.83,48,1.89,29156,0.15,1
4971427.224,1032.7,61,1.185,56955,1.63,0
2746983.799,919.27,58,1.087,22336,2.7,0
1693721.534,943.41,56,2.101,25206,1.25,1
4252544.918,634.62,47,1.661,35442,0.81,0
3720021.539,1193.71,65,6.522,34985,2.8,1
5726220.237,627.02,45,9.101,39408,0.71,1
3858728.733,718.65,47,2.236,42691,2.26,1
5768167.946,1023.46,61,1.272,40060,1.12,0
4901264.993,299.29,31,6.059,24982,2.57,0
1591422.272,858.77,55,10.921,25160,2.93,0
5185559.044,640.91,47,3.616,35797,1.81,0
1435796.588,555.3,44,1.069,46463,0.6,0
4742999.813,806.26,52,10.352,58541,1.54,1
1325908.286,971.96,58,6.549,26244,0.22,1
1388477.846,835.18,54,1.93,21379,1.66,0
1525418.842,614.01,44,6.421,49046,2.48,1
3033431.776,748.46,52,1.153,26156,0.62,0
5874822.566,538.55,40,7.958,40723,0.66,1
1824167.479,1071.85,62,2.226,29213,2.97,0
3515251.178,988.51,58,1.145,25854,2.66,1
2007771.019,747.66,51,4.504,46386,0.2,0
1998609.242,517.4,41,1.281,54479,1.63,0
1890675.556,727.73,50,11.242,37821,1.62,0
2369333.409,1113.2,62,1.209,25206,0.07,1
1653101.203,1103.12,64,2.038,48229,2.12,0
5293457.932,704.34,49,3.881,45205,1.98,0
4225801.809,729.84,50,3.966,28963,1.82,0
4013993.329,516.67,43,4.249,25673,0.18,0
5859903.56,918.92,46,2.205,55447,0.38,3
2883286.168,666.29,46,7.91,43579,1.78,1
5095572.436,697.19,50,7.703,36713,2.4,0
2133693.798,989.46,60,2.648,36661,2.99,0
2032542.512,1084.87,63,3.824,33900,0.05,0
1971445.971,1099.62,63,3.042,37318,2.76,0
2202841.027,708.15,50,2.019,36620,0.62,0
5898609.86,717.84,43,3.358,46982,0.29,2
3621250.754,1225.58,65,1.322,59983,0.67,1
5131853.604,388.17,31,2.983,25889,1,1
4354427.479,1340.28,70,3.525,58198,1.36,0
5888574.184,318.78,26,1.848,41792,1.1,1
1288242.259,718.21,47,1.542,22440,2.99,1
2683705.787,654.87,48,6.252,51423,0.6,0
1063035.048,1130.18,63,1.94,26194,2.14,1
2814281.428,682.36,49,3.686,33136,0.62,0
2048471.502,1129.59,65,3.905,42235,0.62,0
1760603.178,631.83,45,6.573,43122,1.34,1
5679062.049,896.37,55,1.423,48658,2.64,1
3005464.79,515.18,41,1.935,35942,1.95,0
3429182.228,460.76,39,9.601,31367,2.95,0
4407432.231,944.55,59,9.039,40187,2.67,0
5270177.432,1097.18,62,7.983,20483,2.7,1
5564585.859,983.49,49,3.586,21226,1.6,3
3379288.04,1037.88,61,5.865,30829,1.25,0
4568401.498,1224.05,67,11.123,28479,0.11,0
5148767.402,1055.25,56,6.473,24878,2,2
4378989.273,1104.7,63,2.7,36364,1.35,0
2698508.264,624.77,46,5.273,26965,0.44,0
5454149.508,576.25,44,3.133,25212,0.24,0
3644146.297,426.04,38,1.231,46182,1.9,0
5371687.353,1011.61,61,2.264,36699,1.21,0
2293284.639,868.61,55,5.784,21033,2.94,0
3712230.33,481.62,36,3.494,40392,2.58,1
2080006.027,750.07,52,11.571,37015,1.81,0
2083602.951,811.7,52,11.239,24290,1.91,1
3370203.962,1062.16,63,9.718,30857,0.8,0
5463670.142,654.05,48,2.122,20947,2.54,0
2508584.8,1051.34,60,5.271,46425,2.26,1
3776094.899,746.13,51,3.2,20971,0.49,0
4776081.083,1261.09,68,3.27,51430,1.58,0
5782127.121,956.76,59,4.146,21355,0.61,0
5771557.429,1069.4,61,3.824,50202,2.44,1
2666823.617,580.99,44,2.329,49049,1.14,0
